,idd,zoom,xtile,ytile,topleft_x,topleft_y,bottomright_x,bottomright_y
id47,47,19,154397,197040,-73.98399353027344,40.75557964275589,-73.98330688476562,40.7550595057788
id48,48,19,154398,197033,-73.98330688476562,40.75922048765219,-73.98262023925781,40.75870037916101
id49,49,19,154398,197034,-73.98330688476562,40.75870037916101,-73.98262023925781,40.75818026660038
id50,50,19,154398,197035,-73.98330688476562,40.75818026660038,-73.98262023925781,40.75766014997031
id51,51,19,154398,197036,-73.98330688476562,40.75766014997031,-73.98262023925781,40.757140029270815
id52,52,19,154398,197037,-73.98330688476562,40.757140029270815,-73.98262023925781,40.75661990450191
id53,53,19,154398,197038,-73.98330688476562,40.75661990450191,-73.98262023925781,40.75609977566359
id54,54,19,154398,197039,-73.98330688476562,40.75609977566359,-73.98262023925781,40.75557964275589
id55,55,19,154398,197040,-73.98330688476562,40.75557964275589,-73.98262023925781,40.7550595057788
id56,56,19,154399,197033,-73.98262023925781,40.75922048765219,-73.98193359375,40.75870037916101
id57,57,19,154399,197034,-73.98262023925781,40.75870037916101,-73.98193359375,40.75818026660038
id58,58,19,154399,197035,-73.98262023925781,40.75818026660038,-73.98193359375,40.75766014997031
id59,59,19,154399,197036,-73.98262023925781,40.75766014997031,-73.98193359375,40.757140029270815
id60,60,19,154399,197037,-73.98262023925781,40.757140029270815,-73.98193359375,40.75661990450191
id61,61,19,154399,197038,-73.98262023925781,40.75661990450191,-73.98193359375,40.75609977566359
id62,62,19,154399,197039,-73.98262023925781,40.75609977566359,-73.98193359375,40.75557964275589
id63,63,19,154399,197040,-73.98262023925781,40.75557964275589,-73.98193359375,40.7550595057788
