buffer_distance_m,tp_length_m,fp_length_m,fn_length_m,tp_count,fp_count,fn_count,ml_total_length_m,osm_total_length_m,precision,recall,f1_score,iou,tile_id,xtile,ytile,lat,lon,ml_count,osm_count,building_coverage_pct,building_count,avg_building_size_m2,building_density_per_km2,total_building_area_m2,open_space_ratio,tile_area_m2,error_rate,false_positive_rate,false_negative_rate,area_type
5.0,238.8,0.0,39.96,11.0,0.0,40.0,238.8,259.1,1.0,0.8567,0.9228,0.8567,46,158643,193931,42.35270863904154,-71.06815338134766,11,261,56.26,3,597.94,940.85,1793.82,0.4374,3188.59,0.07720000000000005,0.0,0.1433491175204477,Medium Density
5.0,67.22,65.77,48.95,2.0,3.0,49.0,132.99,108.54,0.5054,0.5786,0.5395,0.3694,47,158643,193932,42.35220119796242,-71.06815338134766,5,109,31.32,3,332.87,940.84,998.61,0.6868,3188.64,0.4605,0.49454846229039773,0.42136524059567876,Medium Density
5.0,163.99,0.0,0.0,2.0,0.0,0.0,163.99,78.25,1.0,1.0,1.0,1.0,48,158644,193925,42.355753199481114,-71.06746673583984,2,79,8.94,1,285.0,313.65,285.0,0.9106,3188.28,0.0,0.0,0.0,Open
5.0,463.43,0.0,0.0,9.0,0.0,0.0,463.43,182.9,1.0,1.0,1.0,1.0,49,158644,193926,42.3552457829835,-71.06746673583984,9,184,23.5,1,749.36,313.64,749.36,0.765,3188.33,0.0,0.0,0.0,Low Density
5.0,190.14,0.0,60.36,5.0,0.0,61.0,190.14,140.44,1.0,0.7591,0.863,0.7591,50,158644,193927,42.35473836238896,-71.06746673583984,5,142,12.86,1,410.17,313.64,410.17,0.8714,3188.38,0.137,0.0,0.24095808383233533,Low Density
5.0,181.98,0.0,0.0,4.0,0.0,0.0,181.98,58.91,1.0,1.0,1.0,1.0,52,158644,193929,42.35372350890908,-71.06746673583984,4,59,14.96,2,238.43,627.26,476.86,0.8504,3188.49,0.0,0.0,0.0,Low Density
5.0,126.33,160.01,11.84,2.0,1.0,12.0,286.34,141.26,0.4412,0.9143,0.5952,0.4237,53,158644,193930,42.35321607602376,-71.06746673583984,3,142,46.31,3,492.22,940.87,1476.65,0.5369,3188.54,0.40480000000000005,0.5588112034644129,0.08569153940797569,Medium Density
5.0,531.88,0.0,10.99,36.0,0.0,11.0,531.88,404.25,1.0,0.9798,0.9898,0.9798,54,158644,193931,42.35270863904154,-71.06746673583984,36,412,94.19,15,200.22,4704.27,3003.28,0.0581,3188.59,0.010199999999999987,0.0,0.020244257372851696,High Density
5.0,235.18,0.0,5.75,19.0,0.0,6.0,235.18,255.83,1.0,0.9761,0.9879,0.9761,55,158644,193932,42.35220119796242,-71.06746673583984,19,260,63.48,7,289.16,2195.29,2024.09,0.3652,3188.64,0.0121,0.0,0.023865853152367906,High Density
5.0,187.12,0.0,9.79,11.0,0.0,10.0,187.12,195.08,1.0,0.9503,0.9745,0.9503,56,158645,193925,42.355753199481114,-71.06678009033203,11,199,23.35,2,372.25,627.3,744.5,0.7665,3188.28,0.025499999999999967,0.0,0.049718145345589354,Low Density
5.0,145.88,0.0,0.0,8.0,0.0,0.0,145.88,103.58,1.0,1.0,1.0,1.0,57,158645,193926,42.3552457829835,-71.06678009033203,8,104,14.09,1,449.26,313.64,449.26,0.8591,3188.33,0.0,0.0,0.0,Low Density
5.0,305.44,0.0,43.68,12.0,0.0,44.0,305.44,235.71,1.0,0.8749,0.9333,0.8749,58,158645,193927,42.35473836238896,-71.06678009033203,12,237,27.25,1,868.91,313.64,868.91,0.7275,3188.38,0.06669999999999998,0.0,0.12511457378551788,Low Density
,0.0,0.0,36.73391329781994,,,,,,0.0,0.0,0.0,0.0,59,158645,193928,42.35423093769748,-71.06678009033203,0,37,0.0,0,0.0,0.0,0.0,1.0,3188.4341675244323,1.0,0.0,1.0,
5.0,256.77,19.87,0.0,5.0,1.0,0.0,276.63,108.2,0.9282,1.0,0.9628,0.9282,61,158645,193930,42.35321607602376,-71.06678009033203,6,109,13.32,2,212.39,627.25,424.79,0.8668,3188.54,0.03720000000000001,0.07182620011567381,0.0,Low Density
5.0,229.41,0.0,0.0,6.0,0.0,0.0,229.41,152.62,1.0,1.0,1.0,1.0,62,158645,193931,42.35270863904154,-71.06678009033203,6,153,49.34,4,393.35,1254.47,1573.41,0.5066,3188.59,0.0,0.0,0.0,Medium Density
5.0,114.43,0.0,0.0,6.0,0.0,0.0,114.43,56.99,1.0,1.0,1.0,1.0,63,158645,193932,42.35220119796242,-71.06678009033203,6,57,11.29,3,119.98,940.84,359.95,0.8871,3188.64,0.0,0.0,0.0,Low Density
5.0,163.05,0.0,20.74,9.0,0.0,21.0,163.05,197.22,1.0,0.8872,0.9402,0.8872,64,158646,193925,42.355753199481114,-71.06609344482422,9,200,23.25,2,370.68,627.3,741.35,0.7675,3188.28,0.059799999999999964,0.0,0.11284618314380541,Low Density
5.0,156.97,0.0,0.0,9.0,0.0,0.0,156.97,89.7,1.0,1.0,1.0,1.0,65,158646,193926,42.3552457829835,-71.06609344482422,9,91,13.01,2,207.42,627.29,414.83,0.8699,3188.33,0.0,0.0,0.0,Low Density
5.0,198.11,0.0,0.0,7.0,0.0,0.0,198.11,145.06,1.0,1.0,1.0,1.0,66,158646,193927,42.35473836238896,-71.06609344482422,7,146,18.42,1,587.16,313.64,587.16,0.8158,3188.38,0.0,0.0,0.0,Low Density
5.0,278.71,0.0,25.67,18.0,0.0,26.0,278.71,274.14,1.0,0.9157,0.956,0.9157,67,158646,193928,42.35423093769748,-71.06609344482422,18,277,20.3,1,647.2,313.63,647.2,0.797,3188.43,0.04400000000000004,0.0,0.08433537026085815,Low Density
5.0,100.38,21.09,0.0,6.0,3.0,0.0,121.47,46.05,0.8263,1.0,0.9049,0.8263,68,158646,193929,42.35372350890908,-71.06609344482422,9,47,7.82,2,124.72,627.26,249.43,0.9218,3188.48,0.09509999999999996,0.17362311681896764,0.0,Open
5.0,318.51,0.0,0.0,7.0,0.0,0.0,318.51,171.92,1.0,1.0,1.0,1.0,69,158646,193930,42.35321607602376,-71.06609344482422,7,173,21.89,1,697.81,313.62,697.81,0.7811,3188.53,0.0,0.0,0.0,Low Density
5.0,113.93,0.0,1.99,1.0,0.0,2.0,113.93,60.96,1.0,0.9828,0.9913,0.9828,70,158646,193931,42.35270863904154,-71.06609344482422,1,61,27.8,2,443.29,627.24,886.58,0.722,3188.59,0.008700000000000041,0.0,0.017167011732229124,Low Density
